ejex;ejey;color;label
2.030595481;0.340004344;azul;1
0.43548858;0.8504442;azul;0
-0.020479764;0.372873611;azul;1
0.916222465;0.14151932;azul;0
2.015704808;-0.001804087;azul;1
0.480273198;0.865659124;azul;0
0.231822471;0.96563274;azul;0
1.499117026;-0.462838825;azul;1
1.932999969;-0.097111162;azul;1
-0.34366013;1.045571485;azul;0
-0.7368669;0.305804707;azul;0
-0.077154977;1.097044751;azul;0
-0.858501792;0.122814549;azul;0
1.260139563;-0.453147697;azul;1
1.617467485;-0.342175325;azul;1
0.897468311;0.21097465;azul;0
1.772750405;0.05948796;azul;1
0.797382676;0.577769967;azul;0
-1.076150119;0.350419054;azul;0
-0.22281433;0.843317994;azul;0
0.672804632;-0.555358696;azul;1
-0.716382973;0.805871469;azul;0
0.149701012;0.948788225;azul;0
1.701625481;-0.192165292;azul;1
-0.274989116;0.953206128;azul;0
0.967601407;0.083047284;azul;0
0.651367302;-0.402818024;azul;1
1.941018254;0.037956484;azul;1
0.59420139;0.932376052;azul;0
1.27568891;-0.409080897;azul;1
0.894030831;0.511145988;azul;0
0.941021185;0.427538391;azul;0
-0.725944656;0.2859757;azul;0
0.171726818;-0.123294349;azul;1
0.088996366;-0.043241923;azul;1
1.033398438;-0.482660022;azul;1
-0.759031481;0.694404956;azul;0
-0.116596286;1.091484012;azul;0
-0.030484905;0.246956888;azul;1
0.240892746;0.3495317;azul;1
1.749758302;-0.071221868;azul;1
0.982248177;-0.065866545;azul;0
-0.953914413;0.090317319;azul;0
-0.820506177;0.557998912;azul;0
0.843361703;-0.502955862;azul;1
-0.813503913;0.632655485;azul;0
1.253234268;-0.442984627;azul;1
1.485102167;-0.420889279;azul;1
-1.008364559;-0.084230999;azul;0
0.866597129;-0.69507053;azul;1
0.081401217;0.195335181;azul;1
1.071244229;0.461348963;azul;0
0.313071201;1.01118017;azul;0
-0.62741453;0.822365051;azul;0
1.755217378;-0.182556819;azul;1
1.936100863;0.38737321;azul;1
-0.476270606;0.911849245;azul;0
-0.296161052;0.851510494;azul;0
-0.329941901;1.028819964;azul;0
0.918404045;0.081223907;azul;0
0.140537744;1.02230611;azul;0
0.416470006;-0.383905483;azul;1
1.902373115;0.239289181;azul;1
-0.825480238;0.524363636;azul;0
-0.968076168;0.11988443;azul;0
0.913388948;-0.586822929;azul;1
0.60792318;0.757113566;azul;0
0.795164224;-0.528210498;azul;1
0.037882599;0.379121693;azul;1
1.655816809;-0.053616794;azul;1
-0.539957818;0.856870233;azul;0
-0.993571232;0.435223655;azul;0
0.164041397;0.190015731;azul;1
0.463956441;0.572997094;azul;0
0.78221527;-0.461180615;azul;1
1.69209835;-0.089634739;azul;1
0.813211193;0.643304947;azul;0
0.624619148;1.006361399;azul;0
-0.289299064;0.96280711;azul;0
1.271529307;-0.526773372;rojo;1
-1.002602197;0.373816502;rojo;0
0.854228261;0.931669403;rojo;0
0.905499865;0.519161448;rojo;0
0.733535264;-0.36882011;rojo;1
0.411098443;-0.383971825;rojo;1
0.354786815;-0.430270438;rojo;1
1.499325438;-0.511800274;rojo;1
0.857425815;0.598482034;rojo;0
1.023757252;-0.476316883;rojo;1
-0.341568595;1.070912135;rojo;0
0.329547621;-0.189865811;rojo;1
1.056071001;0.201380509;rojo;0
1.86729037;0.151809961;rojo;1
0.28671196;1.017509037;rojo;0
0.123587651;0.390654197;rojo;1
0.61444088;0.905563377;rojo;0
0.187821327;-0.136689431;rojo;1
0.981181221;0.411300746;rojo;0
-0.648976562;0.534678212;rojo;0
1.989177931;0.170677099;rojo;1
0.911657089;0.294469971;rojo;0
1.550064961;-0.214543268;rojo;1
-0.839304942;0.679991959;rojo;0
1.634980013;-0.3506186;rojo;1
-0.497246963;0.804225608;rojo;0
0.384601644;0.784344564;rojo;0
0.404080567;-0.323862786;rojo;1
0.665203061;0.35766571;rojo;0
0.392745069;-0.151001111;rojo;1
-0.806266158;0.325702207;rojo;0
-1.143009602;0.193627536;rojo;0
2.050818661;0.423847501;rojo;1
0.386043252;1.014525366;rojo;0
1.533799001;-0.110881465;rojo;1
0.315877757;0.84911981;rojo;0
-0.420680346;0.899772197;rojo;0
0.068136542;0.954144362;rojo;0
0.46580205;-0.383881171;rojo;1
0.056098932;0.07961229;rojo;1
1.891231482;0.512266996;rojo;1
0.159093266;-0.174872249;rojo;1
