superficie;precio
0;0.0
2;45.333333333333336
4;64.8
6;111.42857142857142
8;164.44444444444446
10;156.36363636363637
12;209.53846153846152
14;254.79999999999998
16;273.88235294117646
18;287.0526315789474
20;313.3333333333333
22;358.69565217391306
24;386.88
26;427.55555555555554
28;434.48275862068965
30;466.4516129032258
32;527.5151515151515
34;516.8
36;586.7027027027027
38;579.7435897435897
40;603.9024390243902
42;632.9302325581396
44;681.5111111111111
46;695.8723404255319
48;753.3061224489796
50;760.7843137254902
52;794.7169811320755
54;839.4545454545454
56;862.5964912280702
58;876.8813559322034
60;947.2131147540985
62;961.4920634920635
64;982.6461538461539
66;994.9253731343283
68;1043.6521739130435
70;1056.9014084507041
72;1119.4520547945206
74;1118.8799999999999
76;1186.3896103896104
78;1191.7215189873418
80;1209.8765432098767
82;1260.6265060240962
84;1288.6588235294118
86;1324.5977011494253
88;1365.4831460674159
90;1358.901098901099
92;1381.978494623656
94;1442.6526315789474
96;1461.7731958762886
98;1513.5555555555557
100;1527.7227722772277
102;1533.9611650485438
104;1581.790476190476
106;1604.8598130841121
108;1641.7981651376147
110;1694.5945945945946
112;1716.6725663716813
114;1714.9565217391303
116;1779.6581196581196
118;1812.638655462185
120;1819.8347107438017
122;1876.617886178862
124;1876.8639999999998
126;1933.6535433070865
128;1952.7441860465117
130;1965.8778625954199
132;2029.624060150376
134;2058.637037037037
136;2084.6715328467153
138;2114.6762589928057
140;2108.9361702127662
142;2142.909090909091
144;2186.813793103448
146;2226.7482993197277
148;2223.973154362416
150;2255.9602649006624
152;2294.901960784314
154;2348.7483870967744
156;2361.859872611465
158;2401.7987421383646
160;2434.782608695652
162;2437.9509202453987
164;2486.836363636364
166;2511.868263473054
168;2539.8816568047337
170;2591.754385964912
172;2605.849710982659
174;2622.9257142857145
176;2666.8474576271187
178;2681.9329608938547
180;2741.767955801105
182;2760.8306010928964
184;2779.891891891892
186;2833.7647058823527
188;2842.878306878307
190;2859.9476439790574
192;2884.974093264249
194;2927.9076923076923
196;2981.786802030457
198;2970.0
